month,sahm,unemployment_rate,unemployment_rise_12m,payroll_3m_average_k,claims_ratio,claims_elevated,claims_severe,labor_state,activity_available_count,activity_contracting_count,cfnai_ma3,activity_state,baa_spread,baa_20d_change,hy_oas,hy_20d_change,nfci,stlfsi,cre_delinquency,credit_primary_elevated,credit_primary_severe,cre_delinquency_elevated_flag,cre_delinquency_severe_flag,cre_corroborates_credit,credit_state,permits_yoy,housing_starts_yoy,curve_spread,forward_state,real_yield_20d_change,breakeven_20d_change,oil_3m_change,shock_state,overall_state
1959-01-31,,6.0,,,,,,UNKNOWN,0,0,,UNKNOWN,,,,,,,,False,False,False,False,False,UNKNOWN,,,,UNKNOWN,,,,UNKNOWN,UNKNOWN
1959-02-28,,5.9,,,,,,UNKNOWN,0,0,,UNKNOWN,,,,,,,,False,False,False,False,False,UNKNOWN,,,,UNKNOWN,,,,UNKNOWN,UNKNOWN
1959-03-31,,5.6,,,,,,UNKNOWN,0,0,,UNKNOWN,,,,,,,,False,False,False,False,False,UNKNOWN,,,,UNKNOWN,,,,UNKNOWN,UNKNOWN
1959-04-30,,5.2,,281.0,,,,UNKNOWN,2,0,,UNKNOWN,,,,,,,,False,False,False,False,False,UNKNOWN,,,,UNKNOWN,,,,UNKNOWN,UNKNOWN
1959-05-31,,5.1,,287.3333333333333,,,,UNKNOWN,2,0,,UNKNOWN,,,,,,,,False,False,False,False,False,UNKNOWN,,,,UNKNOWN,,,,UNKNOWN,UNKNOWN
1959-06-30,,5.0,0.0,222.33333333333334,,,,UNKNOWN,2,0,,UNKNOWN,,,,,,,,False,False,False,False,False,UNKNOWN,,,,UNKNOWN,,,,UNKNOWN,UNKNOWN
1959-07-31,,5.1,0.09999999999999964,161.0,,,,UNKNOWN,2,1,,UNKNOWN,,,,,,,,False,False,False,False,False,UNKNOWN,,,,UNKNOWN,,,,UNKNOWN,UNKNOWN
1959-08-31,,5.2,0.20000000000000018,-71.33333333333333,,,,UNKNOWN,2,2,,UNKNOWN,,,,,,,,False,False,False,False,False,UNKNOWN,,,,UNKNOWN,,,,UNKNOWN,UNKNOWN
1959-09-30,,5.5,0.5,-84.33333333333333,,,,UNKNOWN,2,2,,UNKNOWN,,,,,,,,False,False,False,False,False,UNKNOWN,,,,UNKNOWN,,,,UNKNOWN,UNKNOWN
1959-10-31,,5.7,0.7000000000000002,-148.66666666666666,,,,UNKNOWN,2,2,,UNKNOWN,,,,,,,,False,False,False,False,False,UNKNOWN,,,,UNKNOWN,,,,UNKNOWN,UNKNOWN
1959-11-30,,5.8,0.7999999999999998,99.33333333333333,,,,UNKNOWN,2,1,,UNKNOWN,,,,,,,,False,False,False,False,False,UNKNOWN,,,,UNKNOWN,,,,UNKNOWN,UNKNOWN
1959-12-31,0.77,5.3,0.2999999999999998,248.66666666666666,,,,SEVERE,2,0,,UNKNOWN,,,,,,,,False,False,False,False,False,UNKNOWN,,,,UNKNOWN,,,,UNKNOWN,UNKNOWN
